Geneid	SRR13615525
100287102	0
653635	9
102466751	3
100302278	0
645520	0
79501	0
729737	14
102725121	2
102723897	70
102465909	0
729759	0
100132287	0
105378947	0
101928626	0
102465432	20
81399	0
100133331	12
100288069	2
400728	1
79854	6
643837	151
284593	2
100130417	2
148398	2
26155	687
339451	61
84069	21
84808	22
57801	83
9636	81
375790	2431
105369174	2
105378948	11
401934	1
54991	130
254099	5
406984	1
406983	7
554210	4
254173	10
8784	26
7293	10
51150	1524
126792	282
388581	8
118424	402
6339	52
116983	403
102465434	0
126789	77
54973	872
102465435	0
80772	252
83756	13
1855	466
102466740	0
54587	1935
54998	482
81669	2648
148413	257
55052	736
441869	355
643965	0
102724312	23
64856	614
219293	174
83858	148
55210	109
339453	10
29101	1213
643988	111
142678	257
8510	0
984	257
728661	607
8511	1
728642	151
9906	521
65220	597
2782	4300
105378949	2
163688	21
339456	33
85452	0
2563	1
5590	192
100506504	41
199990	255
105378592	9
6497	1647
105378594	1
79906	129
100129534	53
11079	1833
5192	226
9651	180
55229	195
388585	3
115110	69
8764	816
100996583	8
127281	350
79258	35
100287898	28
140625	0
440556	6
63976	11
100422968	0
27237	105
1953	363
693135	0
127262	1423
49856	223
7161	150
57212	567
148870	9
388588	34
57470	774
9731	478
1677	111
339448	409
100133612	3
728716	0
284661	2
55966	9
100616489	0
100616421	0
261734	166
8514	162
26038	4
6146	8652
102724450	10
388591	226
23463	1080
148645	0
390992	0
387509	185
11332	92
54626	6
83715	110
100422975	0
8718	127
57449	347
79707	354
80835	10
3104	313
9903	1498
148479	617
90326	297
55735	345
100505887	0
23261	703
9341	1532
8863	729
10911	1
3604	2
11315	2632
54206	970
102724539	0
50651	20
473	1919
102724552	2
2023	11830
102465436	1
100505975	9
765	88
155184	3
6518	58
80045	97
407040	5
9563	2803
80176	248
100506022	17
84275	169
199953	214
5293	432
644997	0
101929074	77
22883	6013
56998	813
84328	322
64802	236
100847055	0
105376719	1
116362	1475
10277	1013
23095	1587
100422970	0
5226	1192
100526739	2
378708	27
1325	6
1676	260
5195	241
54897	494
148345	1
23435	2000
10747	120
6723	519
5394	1104
2475	774
100873935	0
10218	37
29914	363
57540	5
101929181	0
26232	318
93611	476
26270	145
10459	240
374946	2
57085	410
284498	0
102724659	0
4524	372
1185	394
100379251	4
4878	5
4879	0
26829	2
90231	762
5351	2750
9927	1627
60672	192
102466982	0
943	28
102465836	0
7133	627
100616438	0
55187	1911
677885	3
9249	936
102466722	0
343066	0
126767	0
93190	0
390999	0
65121	0
440560	0
343069	0
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	3
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	0
10630	402
7799	967
23254	483
200197	12
55092	137
727684	1
114827	27
101927417	3
79180	362
11330	0
63036	2
51032	6
842	202
23341	458
79814	16
84301	66
6248	80
23207	775
284723	30
388595	0
54751	670
440567	168
729614	84
23013	1746
7709	231
101928566	0
149563	145
27129	230
1187	10
1188	9
348487	3
1969	522
128272	316
101927546	3
79363	32
54455	453
26099	1838
374955	0
55707	859
114819	113
26871	1
100126512	0
100126517	0
102724970	3
100133301	0
7195	0
55672	680
84809	352
11209	118
26869	0
729574	0
100126533	0
284729	5
100189045	0
102723383	0
6060	0
11223	122
100500876	0
100189298	0
7193	0
791226	0
9696	318
26870	0
4237	81
23400	677
6390	748
11240	3165
29943	0
51702	3
100616188	0
23569	1
353238	1
55920	1565
55160	681
81569	2
101927876	0
84966	64
127707	152
5081	0
80834	1
8659	406
100616120	0
100302276	0
126917	861
23352	2516
23065	1189
51154	677
246181	13
22977	51
100506730	84
8574	666
54896	162
832	2201
100532736	0
440574	716
644068	45
4681	4
3362	3
255104	683
54546	92
23252	344
30814	0
5320	48
5322	96
26279	16
64600	0
391013	0
127733	119
101928017	18
127731	0
339505	3
55450	664
79594	614
163933	4
978	0
65018	309
102464833	0
100861548	155
1650	3455
57576	29
400745	1
50809	2824
8672	659
100302155	0
1889	3437
100506801	5
84224	202
249	444
5909	379
84196	897
401944	47
3339	2276
23436	0
10136	0
101928043	5
29092	327
998	3024
54361	79
100616433	0
9923	667
2046	0
102466615	0
712	1209
714	811
713	969
2048	36
100616391	0
100422914	0
646262	0
729059	0
23028	1193
100422866	0
100616177	0
7798	640
3352	0
100996511	152
10236	2036
80818	713
148898	67
6920	705
55616	772
1870	11
101928163	0
3399	221
259283	0
6135	44856
6924	672
100506963	23
57095	875
11313	464
2582	232
3155	546
2517	1105
1269	0
100616492	0
55629	1315
10772	1577
127294	49
58985	30
163702	220
284632	1
57822	6
90529	112
57185	1176
100750325	1
11123	249
100506985	119
400746	144
10250	1351
25932	2658
864	361
102465437	0
100616365	0
25949	1367
57035	1633
6007	0
23585	862
6006	18
55219	786
26119	598
57134	356
57190	2158
56181	800
646471	63
79000	9
164091	335
3925	785
100500808	0
5051	286
2134	34
7780	9
105376910	0
84676	12
149420	384
79927	34
105376887	0
51042	217
10256	393
378807	1
101928303	6
64793	173
83442	939
91544	349
1043	270
55057	6
257101	110
79727	0
79947	492
101928324	8
3151	1322
6195	609
100302190	0
101928728	18
8289	1374
55650	407
84243	418
2810	501
54707	149
63906	213
10726	1123
8431	0
126695	219
388610	228
115572	271
6548	985
23038	1403
84065	678
644961	22
100887744	0
84958	414
9064	568
8547	22
388611	114
2827	0
10163	3279
27245	755
2268	53
2537	475
199870	243
23673	1118
5511	831
677774	0
9473	95
6118	939
27293	208
55113	197
2140	431
5724	168
22826	1438
93974	1023
83667	187
54797	268
65979	612
1104	388
8420	297
6080	12
26768	21
54952	323
85028	156
692212	7
677838	16
677825	12
692073	8
115273	23
6883	264
26824	4
10691	134
105376911	0
51441	1093
4985	0
2035	565
399474	136
6429	982
51102	304
10076	590
101928460	0
101929406	0
4146	2
100129196	38
7805	1504
100616164	0
400748	1
9672	2204
9698	1931
692234	0
692235	1
692200	0
79570	1
9410	590
51538	884
2170	123
347735	1782
149086	1
284551	0
64129	2231
3061	3
553115	952
1307	2060
576	57
100423028	0
90853	5
8073	2443
10657	2727
55116	251
100847018	0
23633	883
200081	1403
79140	71
56063	134
55721	99
149069	8
8668	3268
339483	188
84734	32
3932	109
3065	1256
65108	2188
100128071	5
81629	68
55108	1399
728116	2
653121	152
339487	324
5928	1652
81493	41
57648	2622
8565	682
64766	443
252995	39
3208	1
113452	269
127544	329
204	1701
113451	165
55223	105
149076	645
127550	1
1912	1564
100500853	1
101929464	0
7579	102
114784	5
127540	0
402779	0
84970	0
693137	0
2709	9
127534	2
2707	27
2701	145
113444	440
58512	9
653160	66
100506144	565
9204	346
79830	316
6421	2641
9202	1202
79932	1485
23154	205
339488	9
5690	1150
127703	241
63967	11
192670	648
26523	515
192669	261
27285	18
54936	410
1296	913
27095	1038
55700	775
9967	1792
79729	84
55194	109
83931	679
84967	309
127700	119
64960	687
1441	142
2899	80
100422898	0
728431	103
80149	229
102465438	1
64769	1049
100847010	4
79753	394
7802	266
29889	672
284654	57
54955	379
55143	42
284656	103
149175	259
79693	204
127687	265
4520	348
3633	421
10946	1187
2275	283
51118	370
5453	3
100500801	0
339442	0
64121	720
100527950	1
26292	24
81025	0
54933	39
79647	605
4725	1288
23499	3955
643314	132
105378950	0
353500	51
728448	141
8761	1768
101929516	1
677834	2
26508	63
84618	0
51440	4
10450	747
656	111
64064	5
105378951	4
101929536	6
54802	401
4610	110
84879	30
10487	3408
5538	3232
6018	523
127391	0
10269	998
1298	323
64744	510
65243	21
339559	71
64789	132
127396	83
9783	425
100130557	38
4802	850
407034	0
407031	0
9132	114
163732	689
1503	161
100507178	9
200172	9
22955	785
100132074	26
1907	13
59269	417
2981	0
2980	0
22887	1176
284716	33
84217	66
79717	1117
728621	66
10465	427
4904	3181
149461	195
64175	427
79078	158
100129924	5
374969	430
114625	458
51058	217
339539	1
6513	623
440584	18
105378684	0
440585	19
10969	748
102465439	0
149465	18
128218	321
149466	242
7075	374
4352	25
991	31
64834	1150
102466723	0
112950	380
23334	840
102465440	0
81888	3
5792	10788
9682	838
100132774	9
6487	240
101929592	2
102464830	0
9048	6
9670	372
1802	307
533	1555
8704	491
149473	122
6536	104
128209	0
105378952	0
55929	433
79033	535
100874278	20
55182	971
100847089	0
79639	72
339541	22
26828	2
26830	1
11004	26
6202	48992
26811	2
94161	0
94162	8
94163	7
266675	14
1263	101
343521	3
149478	17
8643	187
8891	499
79654	838
7389	1207
57643	143
400752	36
84842	12
4595	207
114034	170
10420	208
126661	75
25974	117
5052	3508
10327	1329
4678	926
149483	43
60313	1892
728963	8
51249	418
3652	242
23139	776
8503	933
101929626	1
10103	261
55624	1230
541468	30
8438	18
10489	1120
7388	2424
387338	350
2166	263
729041	17
101929651	0
127343	5
100507423	1
148930	0
8569	405
148932	525
64756	598
374973	2
100130197	3
9813	2813
1580	177
163720	42
1579	2
260293	353
199974	141
284541	0
100874253	12
10158	829
6886	80
6491	73
51727	4101
102724077	8
2301	0
84793	31
2306	33
388630	301
391037	3
200010	36
54558	430
84871	18
79656	122
101929721	0
100874313	1
1996	1
63950	0
11124	750
1031	680
100616189	1
102466656	0
284546	0
26994	1856
22996	231
102724097	5
2060	1255
114883	1881
4898	1586
100313892	0
5865	59
51060	1060
112970	0
104355143	0
91408	872
9372	657
200014	431
4998	14
84950	784
23318	666
105378722	2
2882	275
348378	7
65260	173
79699	625
440590	40
55268	1424
6342	2256
100616156	0
100616458	0
100616145	0
127435	646
6512	22
